Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,indicator,weight
Broadmeadows,4 Holberry St,3.0,h,560000.0,S,YPA,2017-01-22 00:07:00,14.0,3047.0,3.0,1.0,1.0,639.0,Hume City Council,-37.69142,144.93025,Northern Metropolitan,4294.0,1,0.9090909090909091
Dallas,35 Kaniva St,4.0,h,600000.0,SP,Barry,2017-01-07 00:10:00,14.0,3047.0,4.0,2.0,2.0,585.0,Hume City Council,-37.66716,144.93495,Northern Metropolitan,2246.0,0,1.0
Dallas,214 Railway Cr,3.0,h,548000.0,S,RW,2017-01-07 00:10:00,14.0,3047.0,3.0,1.0,1.0,541.4000000000001,Hume City Council,-37.66583,144.92558,Northern Metropolitan,2246.0,1,0.8636363636363636
Jacana,1/24 Bliburg St,3.0,u,440000.0,SP,Barry,2018-01-17 00:03:00,14.0,3047.0,3.6871483799551483,3.1784701533014172,2.0,637.1999999999999,Hume City Council,-37.98077547401504,144.6949649965024,Northern Metropolitan,851.0,1,0.6363636363636364
Jacana,10 Bliburg St,3.0,h,615000.0,S,RW,2018-01-17 00:03:00,14.0,3047.0,3.0,1.0,1.0,757.0,Hume City Council,-37.6899,144.91092,Northern Metropolitan,851.0,0,1.0
Jacana,53 Lorraine Cr,3.0,h,515000.0,S,YPA,2017-01-20 00:05:00,14.5,3047.0,2.324519853355343,0.2705982474928907,2.0,624.9999999999999,Hume City Council,-37.99817923220147,144.87165770581248,Northern Metropolitan,851.0,1,0.6363636363636364
Dallas,14 Ouyen Ct,3.0,h,467000.0,S,Walshe,2017-01-21 00:10:00,14.0,3047.0,3.0,1.0,2.0,564.0,Hume City Council,-37.66619,144.93771999999998,Northern Metropolitan,2246.0,1,0.8636363636363636
Broadmeadows,48 Electric St,3.0,h,637000.0,S,Stockdale,2017-01-19 00:08:00,14.0,3047.0,3.0,1.0,5.0,670.0,Hume City Council,-37.69215,144.91654,Northern Metropolitan,4294.0,1,0.9545454545454546
Broadmeadows,1/34 Kitchener St,2.0,h,431000.0,S,YPA,2017-01-19 00:08:00,14.0,3047.0,2.0,1.0,1.0,823.1999999999999,Hume City Council,-37.68402,144.93398,Northern Metropolitan,4294.0,0,0.9090909090909091
Broadmeadows,46 Meredith St,3.0,h,1335000.0,S,YPA,2017-01-19 00:08:00,14.0,3047.0,3.0,1.0,1.0,697.0,Hume City Council,-37.6882,144.92541,Northern Metropolitan,4294.0,1,0.9090909090909091
Broadmeadows,7 Osway St,2.0,h,625000.0,S,Nicholson,2017-01-19 00:08:00,14.0,3047.0,3.0,1.0,2.0,455.40000000000003,Hume City Council,-37.6924,144.91733,Northern Metropolitan,4294.0,0,0.9545454545454546
Broadmeadows,15 Martell Street,3.0,h,568000.0,S,Walshe,2017-01-19 00:08:00,14.0,3047.0,2.7070435467499405,1.5453276919289876,2.0,576.8000000000001,Hume City Council,-37.89313619134422,145.150479721896,Northern Metropolitan,4294.0,1,0.6363636363636364
Dallas,12 Washington St,3.0,h,520000.0,S,FN,2018-01-10 00:03:00,14.0,3047.0,3.0,2.0,5.0,578.0,Hume City Council,-37.66698,144.94496999999998,Northern Metropolitan,2246.0,0,1.0
Jacana,22 Hales Cr,3.0,h,606000.0,S,YPA,2017-01-09 00:12:00,14.0,3047.0,3.0,1.0,1.0,602.0,Hume City Council,-37.68625,144.91586999999998,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,14 Gavin St,3.0,h,605000.0,S,YPA,2017-01-23 00:09:00,14.0,3047.0,3.0,1.0,0.0,593.0,Hume City Council,-37.68775,144.90941999999998,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,12 Lorraine Cr,3.0,h,528000.0,SP,RW,2017-01-22 00:07:00,14.0,3047.0,3.0,1.0,3.0,588.0,Hume City Council,-37.68306,144.90928,Northern Metropolitan,851.0,0,1.0
Jacana,50 Emu Pde,3.0,h,556000.0,S,YPA,2017-01-24 00:06:00,14.0,3047.0,3.0,1.0,1.0,627.0,Hume City Council,-37.68861,144.91065,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,29 Fox Ct,3.0,h,620500.0,S,RW,2017-01-29 00:07:00,14.0,3047.0,3.0,1.0,4.0,764.0,Hume City Council,-37.68907,144.91459,Northern Metropolitan,851.0,1,0.9090909090909091
Dallas,29 Kilmore Cr,3.0,h,475000.0,S,Barry,2017-01-19 00:08:00,14.0,3047.0,3.0,1.0,2.0,560.0,Hume City Council,-37.67345,144.92526,Northern Metropolitan,2246.0,0,1.0
Jacana,15 Fidge Ct,3.0,h,575000.0,PI,Nelson,2018-01-17 00:03:00,14.0,3047.0,3.0,1.0,1.0,600.0,Hume City Council,-37.68991,144.91132,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,17 Bannister St,4.0,h,618000.0,S,YPA,2017-01-20 00:05:00,14.5,3047.0,4.0,1.0,2.0,604.0,Hume City Council,-37.6875,144.9102,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,2 Bannister St,4.0,h,616000.0,S,YPA,2017-01-28 00:10:00,14.0,3047.0,4.0,3.0,2.0,543.0,Hume City Council,-37.68946,144.9099,Northern Metropolitan,851.0,0,1.0
Broadmeadows,1/350 Camp Rd,2.0,u,420000.0,PI,Barry,2018-01-17 00:02:00,14.0,3047.0,2.580660718701804,2.37967665420316,2.0,455.40000000000003,Hume City Council,-38.00048724754497,145.09472541817675,Northern Metropolitan,4294.0,1,0.6363636363636364
Broadmeadows,1/24 Lahinch St,2.0,h,395000.0,SP,RW,2018-01-17 00:02:00,14.0,3047.0,3.083143923899514,2.6599754281553363,2.0,455.40000000000003,Hume City Council,-37.96178295730745,144.97365992523066,Northern Metropolitan,4294.0,1,0.6363636363636364
Broadmeadows,3 Cornell Cl,5.0,h,680000.0,S,YPA,2017-01-25 00:11:00,14.0,3047.0,6.378250368877186,3.018917483986275,2.0,583.2000000000002,Hume City Council,-37.74553028062696,144.85653330003643,Northern Metropolitan,4294.0,1,0.5909090909090908
Broadmeadows,58a Cuthbert St,3.0,u,567500.0,S,Stockdale,2017-01-25 00:11:00,14.0,3047.0,0.8184575559595473,0.24041603387644384,2.0,576.8000000000001,Hume City Council,-37.88617981952013,145.0371351476427,Northern Metropolitan,4294.0,1,0.6363636363636364
Dallas,184 Dallas Dr,5.0,h,695000.0,PI,Stockdale,2017-01-28 00:10:00,14.0,3047.0,5.0,3.0,3.0,591.0,Hume City Council,-37.66746,144.9395,Northern Metropolitan,2246.0,0,1.0
Dallas,2 Melton Ct,3.0,h,465000.0,S,Stockdale,2017-01-28 00:10:00,14.0,3047.0,3.0,1.0,2.0,542.0,Hume City Council,-37.67363,144.92733,Northern Metropolitan,2246.0,0,1.0
Broadmeadows,3/55 Graham St,2.0,u,385000.0,SP,YPA,2017-01-27 00:05:00,14.0,3047.0,1.1219951171488702,1.1004548947063504,2.0,455.40000000000003,Hume City Council,-37.81742759062634,145.280453344897,Northern Metropolitan,4294.0,1,0.6363636363636364
Broadmeadows,87 Academy Dr,3.0,h,505000.0,SP,YPA,2017-01-27 00:05:00,14.0,3047.0,3.0,1.0,1.0,546.0,Hume City Council,-37.67411,144.94677,Northern Metropolitan,4294.0,0,1.0
Broadmeadows,13 Keith Cr,3.0,h,380000.0,PI,YPA,2017-01-25 00:11:00,14.0,3047.0,2.4255857529995315,0.9907262394673075,2.0,518.2,Hume City Council,-37.91586878880607,145.04045148954165,Northern Metropolitan,4294.0,1,0.5909090909090908
Broadmeadows,2/16 Ortolan Av,3.0,u,423000.0,S,YPA,2017-01-25 00:11:00,14.0,3047.0,3.2303524873849945,3.9442475769422125,2.0,527.8,Hume City Council,-37.921256103253924,145.06375168358167,Northern Metropolitan,4294.0,1,0.6363636363636364
Jacana,7 Leech Ct,3.0,h,480000.0,S,YPA,2018-01-17 00:03:00,14.0,3047.0,3.0,1.0,1.0,638.0,Hume City Council,-37.68275,144.90672,Northern Metropolitan,851.0,1,0.9090909090909091
Jacana,13 Robinson St,3.0,h,559000.0,S,YPA,2017-01-15 00:07:00,14.0,3047.0,3.0,1.0,2.0,604.0,Hume City Council,-37.68599,144.91195,Northern Metropolitan,851.0,1,0.9090909090909091
Dallas,47 Inverloch Cr,3.0,h,485000.0,SP,Stockdale,2017-01-25 00:11:00,14.0,3047.0,4.832201319420636,1.3690309436459984,2.0,564.0000000000001,Hume City Council,-37.886654355541005,144.94795288208792,Northern Metropolitan,2246.0,1,0.6363636363636364
Dallas,202 Railway Cr,3.0,h,475000.0,S,YPA,2017-01-25 00:11:00,14.0,3047.0,2.394720993176962,3.944230314319637,2.0,564.0000000000001,Hume City Council,-37.83630452144957,144.8800597835514,Northern Metropolitan,2246.0,1,0.6363636363636364
Broadmeadows,3 Winton Ct,4.0,h,580000.0,SP,Eview,2017-01-25 00:11:00,14.0,3047.0,4.190889194133659,4.2424627687626835,2.0,635.6,Hume City Council,-37.73471877754093,145.0171741422284,Northern Metropolitan,4294.0,1,0.5909090909090908
Broadmeadows,3/61 Cuthbert St,2.0,h,320000.0,PI,Stockdale,2017-01-23 00:09:00,14.0,3047.0,1.269430192881616,1.876297959900946,2.0,448.4,Hume City Council,-37.737452906079305,144.8566176811543,Northern Metropolitan,4294.0,1,0.6363636363636364
Broadmeadows,75 Graham St,4.0,h,600000.0,S,Barry,2017-01-14 00:10:00,14.0,3047.0,4.0,2.0,3.0,632.0,Hume City Council,-37.69186,144.92699,Northern Metropolitan,4294.0,1,0.8636363636363636
Broadmeadows,15 Cavendish St,3.0,h,522500.0,SP,YPA,2017-01-14 00:10:00,14.0,3047.0,3.0,1.0,1.0,566.2,Hume City Council,-37.67776,144.91308999999998,Northern Metropolitan,4294.0,1,0.8636363636363636
Jacana,27 Hendricks Cr,4.0,h,600000.0,S,Stockdale,2018-01-03 00:03:00,14.0,3047.0,4.0,2.0,4.0,904.9999999999999,Hume City Council,-37.68209,144.9067,Northern Metropolitan,851.0,0,1.0
Broadmeadows,3/423 Camp Rd,2.0,t,339000.0,SA,YPA,2017-01-14 00:10:00,14.0,3047.0,2.7489049867662088,2.5260242658169565,2.0,448.4,Hume City Council,-37.7463525128097,145.04184694702113,Northern Metropolitan,4294.0,1,0.6363636363636364
Broadmeadows,1 Bittern St,4.0,h,680000.0,S,Stockdale,2017-01-14 00:10:00,14.0,3047.0,4.0,1.0,7.0,737.8,Hume City Council,-37.67892,144.90803,Northern Metropolitan,4294.0,1,0.9090909090909091
Meadow Heights,3a Coorong Ct,3.0,u,412000.0,S,HAR,2018-01-24 00:02:00,17.4,3048.0,3.0,1.0,6.0,335.0,Hume City Council,-37.6428,144.92394,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,1 Canadian Ct,3.0,h,563000.0,S,Barry,2018-01-24 00:02:00,17.4,3048.0,3.0,1.0,1.0,662.0,Hume City Council,-37.65863,144.92207,Northern Metropolitan,4704.0,1,0.8636363636363636
Meadow Heights,2/14 Weemala Ct,3.0,t,347500.0,S,YPA,2017-01-18 00:11:00,17.4,3048.0,2.4803477456434835,1.2414741597724035,2.0,539.0000000000001,Hume City Council,-37.80525324302452,145.21568396862673,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,5 Fumina Ct,3.0,h,545000.0,S,YPA,2017-01-25 00:11:00,17.4,3048.0,3.0,1.0,0.0,682.0,Hume City Council,-37.661,144.9229,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,103 Shankland Bvd,3.0,h,415000.0,S,FN,2018-01-24 00:02:00,17.4,3048.0,3.0,1.0,1.0,298.0,Hume City Council,-37.64423,144.92637,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,4a Rocklands Ri,3.0,u,430000.0,SP,RW,2017-01-09 00:09:00,17.4,3048.0,2.956642422748614,4.210019104467843,2.0,539.0,Hume City Council,-37.8554485243539,145.07856479181592,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,10/32 Papworth Pl,3.0,t,408000.0,S,RW,2017-01-09 00:12:00,17.4,3048.0,4.49092204993499,2.322640867082863,2.0,539.0,Hume City Council,-37.90383978964199,144.97003748346964,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,13 Haddon Ct,8.0,h,741000.0,S,Barry,2017-01-23 00:09:00,17.4,3048.0,8.0,3.0,1.0,1063.0,Hume City Council,-37.65826,144.92538000000002,Northern Metropolitan,4704.0,0,1.0
Coolaroo,33 Exford St,2.0,h,495000.0,SP,Skad,2018-01-17 00:02:00,17.4,3048.0,2.0,1.0,2.0,717.0,Hume City Council,-37.66368,144.92582,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,14 Hopkins Wy,3.0,h,490000.0,S,HAR,2017-01-09 00:09:00,17.4,3048.0,3.0,2.0,2.0,590.6,Hume City Council,-37.64172,144.9245,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,25 Darebin Ct,3.0,h,370000.0,S,YPA,2017-01-16 00:09:00,17.4,3048.0,3.0,1.0,1.0,784.0,Hume City Council,-37.65877,144.91191,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,3 Melaleuca Dr,3.0,h,525000.0,S,YPA,2018-01-17 00:02:00,17.4,3048.0,3.0,1.0,2.0,578.0,Hume City Council,-37.64705,144.91541,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,2/6 Mitchell Cr,3.0,h,380000.0,S,Stockdale,2018-01-17 00:02:00,17.4,3048.0,4.275530705646252,5.107883368978609,2.0,539.0000000000001,Hume City Council,-37.75790093653321,144.95678045742324,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,2/11 Opal Ct,2.0,u,333000.0,SP,YPA,2017-01-19 00:08:00,17.4,3048.0,2.0,1.0,1.0,117.79999999999998,Hume City Council,-37.65234,144.92955,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,11 Dakara Cl,4.0,h,575000.0,S,Barry,2017-01-23 00:09:00,17.4,3048.0,4.0,2.0,2.0,627.2,Hume City Council,-37.64751,144.92524,Northern Metropolitan,4704.0,1,0.8181818181818181
Meadow Heights,8 Dillwynia Pl,4.0,h,530000.0,VB,YPA,2017-01-09 00:12:00,17.4,3048.0,4.0,2.0,2.0,627.1999999999999,Hume City Council,-37.64837,144.91491000000002,Northern Metropolitan,4704.0,1,0.8636363636363636
Meadow Heights,13 Manna Ct,3.0,h,473000.0,S,Stockdale,2017-01-09 00:09:00,17.4,3048.0,3.0,1.0,2.0,501.00000000000006,Hume City Council,-37.64343,144.91193,Northern Metropolitan,4704.0,0,1.0
Coolaroo,470 Barry Rd,3.0,h,455000.0,S,Nelson,2017-01-29 00:07:00,17.4,3048.0,3.0,1.0,1.0,562.0,Hume City Council,-37.66508,144.93506000000002,Northern Metropolitan,1124.0,1,0.9090909090909091
Meadow Heights,5b White Ct,2.0,h,363500.0,S,Jason,2017-01-28 00:10:00,17.4,3048.0,2.0,1.0,1.0,117.79999999999998,Hume City Council,-37.65295,144.9119,Northern Metropolitan,4704.0,1,0.8181818181818181
Meadow Heights,16 Hopkins Wy,3.0,h,510500.0,S,HAR,2018-01-17 00:03:00,17.4,3048.0,3.0,1.0,2.0,563.0,Hume City Council,-37.64159,144.92453,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,5 Homewood Ct,3.0,h,445000.0,S,HAR,2018-01-17 00:03:00,17.4,3048.0,3.0,1.0,2.0,650.0,Hume City Council,-37.65739,144.91853999999998,Northern Metropolitan,4704.0,1,0.8636363636363636
Meadow Heights,19 Papworth Pl,3.0,h,510000.0,SP,Barry,2017-01-29 00:07:00,17.4,3048.0,3.0,1.0,1.0,670.0,Hume City Council,-37.65168,144.91868,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,10 Castella Ct,3.0,h,450000.0,SP,Barry,2017-01-08 00:07:00,17.4,3048.0,3.0,1.0,1.0,702.0,Hume City Council,-37.66059,144.92006,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,1/2 Dakara Cl,3.0,u,420000.0,S,YPA,2017-01-22 00:07:00,17.4,3048.0,3.0,1.0,1.0,658.0,Hume City Council,-37.64821,144.92526999999998,Northern Metropolitan,4704.0,0,1.0
Coolaroo,11 Nareen Av,4.0,h,515000.0,S,Barry,2017-01-08 00:07:00,17.4,3048.0,4.0,1.0,0.0,616.0,Hume City Council,-37.65879,144.9296,Northern Metropolitan,1124.0,1,0.9090909090909091
Meadow Heights,44 Bicentennial Cr,1.0,h,387000.0,S,Raine,2017-01-27 00:05:00,17.4,3048.0,1.3248060731908287,2.5829772158200073,2.0,575.5999999999999,Hume City Council,-37.90752131977505,144.80137025883238,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,5a White Ct,3.0,u,460000.0,S,Jason,2017-01-28 00:10:00,17.4,3048.0,3.0,2.0,1.0,598.1999999999999,Hume City Council,-37.65293,144.91222,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,23 Goodenia Cl,3.0,h,440000.0,S,YPA,2017-01-08 00:07:00,17.4,3048.0,3.0,1.0,2.0,570.0,Hume City Council,-37.64769,144.91359,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,13 Allendale Ct,3.0,h,520000.0,S,RW,2017-01-15 00:07:00,17.4,3048.0,3.0,1.0,1.0,631.0,Hume City Council,-37.66004,144.92338,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,103 Cassinia Cr,3.0,h,430000.0,S,Barry,2017-01-15 00:07:00,17.4,3048.0,3.0,1.0,2.0,522.0,Hume City Council,-37.64683,144.91106000000002,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,7 Dalton Ct,4.0,h,570000.0,S,Raine,2017-01-15 00:07:00,17.4,3048.0,4.0,2.0,2.0,665.0,Hume City Council,-37.64993,144.92955,Northern Metropolitan,4704.0,1,0.9545454545454546
Coolaroo,3 Thorpdale Av,3.0,h,457000.0,S,YPA,2017-01-03 00:09:00,17.4,3048.0,3.0,1.0,2.0,551.0,Hume City Council,-37.65532,144.93393,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,11 Hermitage Ct,3.0,h,520000.0,S,Stockdale,2017-01-15 00:07:00,17.4,3048.0,3.0,1.0,2.0,798.0,Hume City Council,-37.65384,144.92272,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,16 Papworth Pl,4.0,h,515000.0,PI,RW,2017-01-15 00:07:00,17.4,3048.0,4.0,3.0,0.0,653.0,Hume City Council,-37.65155,144.91912,Northern Metropolitan,4704.0,0,1.0
Coolaroo,21 Norval Cr,3.0,h,460000.0,S,Stockdale,2017-01-26 00:08:00,17.4,3048.0,3.0,1.0,3.0,536.0,Hume City Council,-37.65704,144.92987,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,92 Rokewood Cr,3.0,h,475000.0,SP,Barry,2017-01-11 00:11:00,17.4,3048.0,3.0,1.0,1.0,596.0,Hume City Council,-37.6548,144.9116,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,1/11 Elgata Cl,3.0,u,355000.0,S,YPA,2017-01-11 00:11:00,17.4,3048.0,4.872986043715456,4.264132812701289,2.0,539.0,Hume City Council,-37.87089793776898,144.87262682952561,Northern Metropolitan,4704.0,1,0.6363636363636364
Coolaroo,16 Westmere Cr,3.0,h,451000.0,S,RW,2017-01-14 00:10:00,17.4,3048.0,3.0,1.0,1.0,553.0,Hume City Council,-37.66432,144.93536,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,1 Camms Wy,3.0,h,520000.0,SP,Barry,2018-01-17 00:03:00,17.4,3048.0,3.0,1.0,1.0,487.0,Hume City Council,-37.6578,144.91286000000002,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,5 Mia Pl,4.0,h,460000.0,VB,Brad,2018-01-17 00:03:00,17.4,3048.0,4.0,2.0,2.0,510.0,Hume City Council,-37.64097,144.91952,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,25 Melaleuca Dr,3.0,h,480000.0,PI,Barry,2018-01-17 00:03:00,17.4,3048.0,3.0,2.0,1.0,470.0,Hume City Council,-37.64676,144.91356000000002,Northern Metropolitan,4704.0,0,1.0
Coolaroo,20 Paisley St,4.0,h,555000.0,S,RW,2017-01-14 00:10:00,17.4,3048.0,4.0,1.0,0.0,628.0,Hume City Council,-37.65776,144.92875,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,2/11 Dutton Ct,3.0,t,360000.0,SP,RW,2017-01-29 00:07:00,17.4,3048.0,3.0,1.0,1.0,154.0,Hume City Council,-37.64992,144.91883,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,16 Inverleigh Ct,3.0,h,490000.0,PI,YPA,2018-01-03 00:03:00,17.4,3048.0,3.0,1.0,2.0,639.0,Hume City Council,-37.65761,144.91743,Northern Metropolitan,4704.0,1,0.8636363636363636
Meadow Heights,2 Navarre Ct,3.0,h,467000.0,S,Raine,2017-01-24 00:06:00,17.4,3048.0,3.0,1.0,1.0,565.0,Hume City Council,-37.65702,144.92447,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,13 Leatherwood Gr,3.0,h,512000.0,S,RW,2017-01-21 00:10:00,17.4,3048.0,3.0,2.0,1.0,559.0,Hume City Council,-37.64049,144.91477,Northern Metropolitan,4704.0,0,1.0
Coolaroo,450 Barry Rd,3.0,h,432000.0,SP,Stockdale,2017-01-07 00:10:00,17.4,3048.0,3.0,1.0,2.0,596.0,Hume City Council,-37.66533,144.93714,Northern Metropolitan,1124.0,1,0.9090909090909091
Meadow Heights,1/4 Bronco Ct,3.0,u,458000.0,S,YPA,2018-01-10 00:02:00,17.4,3048.0,4.353280230872747,2.9427354042426264,2.0,539.0,Hume City Council,-37.732533016721376,144.91118916671195,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,14 Humevale Ct,3.0,h,485500.0,S,YPA,2017-01-07 00:10:00,17.4,3048.0,3.0,1.0,2.0,590.6,Hume City Council,-37.65591,144.92053,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,10 Binnak Ct,3.0,h,525000.0,S,YPA,2017-01-07 00:10:00,17.4,3048.0,3.0,2.0,2.0,748.0,Hume City Council,-37.64477,144.92889,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,1/47 Shankland Bvd,3.0,h,390000.0,SP,Morrison,2017-01-03 00:09:00,17.4,3048.0,3.0,2.0,2.0,539.0,Hume City Council,-37.64714,144.92237,Northern Metropolitan,4704.0,0,0.9545454545454546
Meadow Heights,22 Lightwood Cr,5.0,h,710000.0,S,YPA,2017-01-26 00:08:00,17.4,3048.0,5.7834068185986,2.4251122958474194,2.0,666.1999999999999,Hume City Council,-37.888638522319326,144.67673479697658,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,9 Hibiscus Cl,3.0,h,482000.0,S,Nelson,2017-01-03 00:09:00,17.4,3048.0,3.0,2.0,2.0,451.99999999999994,Hume City Council,-37.64023,144.91398999999998,Northern Metropolitan,4704.0,0,1.0
Coolaroo,6 Edi Ct,4.0,h,550000.0,PI,Barry,2018-01-03 00:03:00,17.4,3048.0,4.0,2.0,2.0,605.0,Hume City Council,-37.66351,144.93204,Northern Metropolitan,1124.0,0,1.0
Meadow Heights,31 Buchan St,4.0,h,560000.0,S,Stockdale,2017-01-03 00:09:00,17.4,3048.0,4.0,3.0,2.0,572.0,Hume City Council,-37.65465,144.92182,Northern Metropolitan,4704.0,1,0.9090909090909091
Meadow Heights,19 Sheoak Ct,3.0,h,587000.0,S,YPA,2018-01-10 00:02:00,17.4,3048.0,3.0,1.0,2.0,844.0,Hume City Council,-37.65171,144.92752,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,35 Papworth Pl,3.0,h,632000.0,S,Barry,2018-01-10 00:02:00,17.4,3048.0,3.0,2.0,2.0,666.2,Hume City Council,-37.65091,144.91758000000002,Northern Metropolitan,4704.0,1,0.8636363636363636
Meadow Heights,1/16 Yaralla Ct,3.0,u,405000.0,S,YPA,2017-01-14 00:10:00,17.4,3048.0,1.9731297910085401,2.458053530833529,2.0,539.0,Hume City Council,-37.72098378543708,145.05082655500289,Northern Metropolitan,4704.0,1,0.6363636363636364
Meadow Heights,17 Canadian Ct,3.0,h,535000.0,SP,Barry,2017-01-26 00:08:00,17.4,3048.0,3.0,1.0,4.0,572.0,Hume City Council,-37.65905,144.92347,Northern Metropolitan,4704.0,0,1.0
Meadow Heights,120 Shankland Bvd,7.0,h,786500.0,S,Raine,2018-01-03 00:02:00,17.4,3048.0,7.0,3.0,2.0,833.0,Hume City Council,-37.64417,144.92848,Northern Metropolitan,4704.0,1,0.9090909090909091
Attwood,30 The Crest,4.0,h,550000.0,S,Walshe,2018-01-24 00:02:00,16.5,3049.0,4.0,2.0,2.0,335.0,Hume City Council,-37.67292,144.88881,Northern Metropolitan,1130.0,1,0.9090909090909091
Westmeadows,63 Kenny St,3.0,h,700000.0,S,Barry,2017-01-12 00:08:00,16.5,3049.0,3.0,2.0,4.0,673.0,Hume City Council,-37.67558,144.8976,Northern Metropolitan,2474.0,1,0.9545454545454546
Westmeadows,39 Eyre St,3.0,h,572000.0,S,Barry,2017-01-18 00:11:00,16.5,3049.0,1.468773995632238,4.988883914321865,2.0,385.6,Hume City Council,-37.82380684912279,144.7189248546596,Northern Metropolitan,2474.0,1,0.6363636363636364
Westmeadows,12 Tylden Pl,3.0,h,729000.0,S,Nelson,2017-01-12 00:08:00,16.5,3049.0,3.0,1.0,1.0,672.0,Hume City Council,-37.6784,144.88797,Northern Metropolitan,2474.0,1,0.9090909090909091
Westmeadows,81 Hillcrest Dr,4.0,h,720000.0,VB,Barry,2017-01-26 00:08:00,16.5,3049.0,4.0,2.0,0.0,887.9999999999998,Hume City Council,-37.68006,144.8755,Northern Metropolitan,2474.0,1,0.8636363636363636
Westmeadows,19 Forman St,3.0,h,715000.0,SA,YPA,2017-01-18 00:11:00,16.5,3049.0,1.8948409062040366,1.9365979956776098,2.0,537.0,Hume City Council,-37.92662822736067,144.99303992110504,Northern Metropolitan,2474.0,1,0.6363636363636364
Westmeadows,9 Black St,3.0,h,582000.0,S,Red,2017-01-26 00:08:00,16.5,3049.0,3.0,2.0,2.0,256.0,Hume City Council,-37.67917,144.8939,Northern Metropolitan,2474.0,1,0.9090909090909091
Westmeadows,32 Eyre St,8.0,h,892250.0,S,Stockdale,2017-01-14 00:10:00,16.5,3049.0,8.0,4.0,4.0,914.0000000000001,Hume City Council,-37.67727,144.90062,Northern Metropolitan,2474.0,1,0.9090909090909091
Westmeadows,9 Fielders Wk,3.0,h,500000.0,SP,Stockdale,2017-01-21 00:10:00,16.5,3049.0,2.875426822259041,0.1453625573537057,2.0,387.7999999999999,Hume City Council,-37.869943479478344,144.8520768460029,Northern Metropolitan,2474.0,1,0.6363636363636364
Westmeadows,7 Pershore Ct,3.0,h,570000.0,SP,Barry,2017-01-21 00:10:00,16.5,3049.0,3.0,1.0,2.0,468.0,Hume City Council,-37.68047,144.88503,Northern Metropolitan,2474.0,0,0.9545454545454546
Westmeadows,254 Wright St,3.0,h,616000.0,SP,Barry,2017-01-21 00:10:00,16.5,3049.0,3.0,1.0,1.0,829.0,Hume City Council,-37.6768,144.8726,Northern Metropolitan,2474.0,1,0.9090909090909091
Attwood,20 Threadneedle St,5.0,h,830000.0,S,YPA,2017-01-23 00:09:00,16.5,3049.0,5.0,2.0,2.0,757.1999999999999,Hume City Council,-37.67116,144.88001,Northern Metropolitan,1130.0,0,0.9545454545454546
